특성별(1),특성별(2),1만원 미만 (%),1만원~2만원 미만 (%),2만원~4만원 미만 (%),4만원~6만원 미만 (%),6만원~8만원 미만 (%),8만원~10만원 미만 (%),10만원 이상 (%),평균 (원),연도
전체,소계,2.3,5.9,16.3,13.4,6.5,3.2,52.4,159629,2021
가구원수별,1인,3.9,4.3,17.1,11.9,4.7,2.5,55.5,132408,2021
,2인,3.1,10.2,21.1,18.3,6.6,3.3,37.4,121869,2021
,3인,1.7,4.7,15,11.2,7,3.4,57.1,196528,2021
,4인 이상,0.4,3.5,10.8,11.1,7.9,3.7,62.6,198906,2021
가구주성별,남성,1.9,6.1,16.2,13.4,8,3.1,51.3,150382,2021
,여성,3.3,5.3,16.5,13.4,3.4,3.4,54.8,179714,2021
가구주연령별,20대,2,1.5,9.4,12.9,4.9,2.8,66.4,144843,2021
,30대,2.5,1.5,13.6,11.1,8.1,2.4,60.8,178253,2021
,40대,0.5,5.5,12.7,9.5,6.8,3.2,61.8,176044,2021
,50대,0.8,4.8,14.3,13.9,7.2,4.7,54.4,194060,2021
,60대 이상,5.3,11.4,25.1,17.8,5.1,2.5,32.7,105272,2021
