"특성별(1)","특성별(2)","인식별(1)",시점,전혀 그렇지 않다 (%),그렇지 않은 편이다 (%),보통이다/그저 그렇다 (%),그런 편이다 (%),매우 그렇다 (%)
"전체","소계","나는 식품 가격의 오르고 내림에 민감하다",2020,0.3,9.6,40.0,47.7,2.4
"전체","소계","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.6,10.9,43.8,41.6,3.0
"전체","소계","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.3,6.4,42.8,45.9,4.6
"전체","소계","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.4,9.5,57.4,30.9,1.8
"가구원수별","1인","나는 식품 가격의 오르고 내림에 민감하다",2020,0.4,16.8,42.2,38.3,2.2
"가구원수별","1인","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.7,14.7,45.2,38.5,0.8
"가구원수별","1인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.1,9.7,40.3,46.1,3.9
"가구원수별","1인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.1,12.7,58.0,27.5,1.7
"가구원수별","2인","나는 식품 가격의 오르고 내림에 민감하다",2020,0.5,7.8,39.5,48.2,3.9
"가구원수별","2인","나는 가공식품 가격의 오르고 내림에 민감하다",2020,1.4,12.2,43.9,38.6,4.0
"가구원수별","2인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.8,6.0,42.6,45.0,5.6
"가구원수별","2인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.1,8.7,58.5,30.5,2.2
"가구원수별","3인","나는 식품 가격의 오르고 내림에 민감하다",2020,0.1,6.2,37.4,54.6,1.6
"가구원수별","3인","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.1,7.7,42.6,44.9,4.6
"가구원수별","3인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.1,4.4,42.2,48.0,5.3
"가구원수별","3인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,1.3,7.3,55.3,35.8,0.3
"가구원수별","4인","나는 식품 가격의 오르고 내림에 민감하다",2020,0.0,4.8,39.4,54.0,1.8
"가구원수별","4인","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.0,7.6,41.8,46.9,3.7
"가구원수별","4인","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.3,4.5,46.1,45.3,3.7
"가구원수별","4인","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.5,8.6,57.1,30.9,2.9
"가구원수별","5인 이상","나는 식품 가격의 오르고 내림에 민감하다",2020,0.0,4.0,55.4,40.6,0.0
"가구원수별","5인 이상","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.0,4.0,68.5,27.5,0.0
"가구원수별","5인 이상","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.0,0.0,70.8,28.2,1.0
"가구원수별","5인 이상","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.0,0.0,58.9,41.1,0.0
"가구주성별","남성","나는 식품 가격의 오르고 내림에 민감하다",2020,0.0,8.3,39.7,49.5,2.4
"가구주성별","남성","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.4,10.6,43.0,42.3,3.7
"가구주성별","남성","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.4,5.4,44.5,44.9,4.8
"가구주성별","남성","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.6,8.7,57.4,31.7,1.6
"가구주성별","여성","나는 식품 가격의 오르고 내림에 민감하다",2020,0.8,12.6,40.8,43.5,2.3
"가구주성별","여성","나는 가공식품 가격의 오르고 내림에 민감하다",2020,1.1,11.7,45.8,39.9,1.4
"가구주성별","여성","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.1,8.9,38.8,48.1,4.1
"가구주성별","여성","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.1,11.6,57.3,29.0,2.1
"가구주연령별","20대","나는 식품 가격의 오르고 내림에 민감하다",2020,0.9,12.0,48.0,38.2,0.8
"가구주연령별","20대","나는 가공식품 가격의 오르고 내림에 민감하다",2020,2.4,13.0,47.5,34.7,2.5
"가구주연령별","20대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.0,5.5,42.7,47.4,4.4
"가구주연령별","20대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.0,10.6,55.0,31.1,3.3
"가구주연령별","30대","나는 식품 가격의 오르고 내림에 민감하다",2020,0.5,12.1,38.5,46.0,2.9
"가구주연령별","30대","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.7,13.2,39.8,44.1,2.3
"가구주연령별","30대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.7,6.7,43.1,44.1,5.4
"가구주연령별","30대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.9,8.7,58.8,31.0,0.7
"가구주연령별","40대","나는 식품 가격의 오르고 내림에 민감하다",2020,0.0,7.3,39.2,51.5,2.0
"가구주연령별","40대","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.0,10.0,45.1,40.6,4.2
"가구주연령별","40대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.2,5.5,45.6,44.0,4.7
"가구주연령별","40대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.4,10.2,58.0,29.0,2.3
"가구주연령별","50대","나는 식품 가격의 오르고 내림에 민감하다",2020,0.0,7.2,40.2,49.3,3.3
"가구주연령별","50대","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.0,8.5,47.1,41.5,2.9
"가구주연령별","50대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.0,7.3,40.6,48.6,3.5
"가구주연령별","50대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.0,9.8,56.9,31.6,1.7
"가구주연령별","60대 이상","나는 식품 가격의 오르고 내림에 민감하다",2020,0.0,8.1,35.0,55.2,1.8
"가구주연령별","60대 이상","나는 가공식품 가격의 오르고 내림에 민감하다",2020,0.4,6.2,43.3,46.3,3.9
"가구주연령별","60대 이상","전년에 비해 올해 가공식품 가격이 많이 상승했다",2020,0.0,7.8,37.7,51.6,2.9
"가구주연령별","60대 이상","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2020,0.2,8.5,53.9,35.1,2.3
